1: 0TS9: (30.0156, 97.7372) 20.9062
77: TPL: (31.1525, 97.4078) 109.447
78: 2TS8: (29.2206, 97.8717) 110.02
79: TE12: (29.3003, 98.1836) 111.098
80: 5C1: (29.7239, 98.6947) 111.723
81: LZZ: (31.1061, 98.1958) 113.168
82: 6TS4: (31.1864, 97.3906) 113.495
83: 5TA1: (31.1936, 97.4072) 113.912
84: XS00: (30.6372, 98.7483) 114.524
85: 82TE: (29.6917, 98.7075) 114.532
86: AQO: (30.7836, 98.6619) 115.436
87: TS92: (31.2147, 97.4267) 115.812
88: 6TS1: (31.1781, 98.0731) 115.975
89: 19TX: (31.2383, 97.5142) 117.028
90: 24XA: (29.3208, 98.3703) 118.347
91: 44TS: (30.5778, 98.8336) 119.477
92: SSF: (29.3369, 98.4711) 122.762
93: XA47: (31.3097, 97.4847) 125.273
94: SKF: (29.3842, 98.5811) 125.882
95: TA66: (29.7142, 98.86) 126.47
96: 32TX: (30.0581, 96.3592) 126.973
97: XS79: (29.2586, 98.4583) 128.925
98: 74R: (29.2836, 98.5003) 129.163
99: 75XS: (29.2494, 98.4761) 130.77
100: 8T8: (29.5106, 98.7983) 132.746
101: 22TA: (29.3414, 98.6597) 134.616
102: 72TS: (29.3608, 96.6225) 137.157
103: XS43: (29.6617, 98.9564) 137.39
104: 53TX: (29.2161, 98.5494) 138.011
105: ERV: (29.9767, 99.0856) 138.335
106: 7TE3: (31.2336, 98.4669) 138.405
107: 3XS5: (29.2981, 98.6767) 139.206
108: XA44: (31.2661, 98.4239) 139.259
109: XS18: (30.3847, 96.2247) 140.374
110: 2TA4: (29.7478, 96.2928) 141.648
111: 05TA: (29.8092, 96.265) 141.913
112: 60TE: (30.1414, 99.1506) 142.457
113: TE84: (31.4653, 97.4753) 142.535
114: XS57: (31.4653, 97.4047) 143.57
115: XA51: (31.4183, 97.1258) 145.678
116: TA73: (29.9747, 99.1683) 146.214
117: TE17: (31.4392, 97.1469) 147.153
118: PWG: (31.485, 97.3167) 147.419
119: T15: (31.3406, 96.8519) 149.51
120: 3XA7: (30.8908, 99.0061) 149.559
121: 2TE6: (28.8878, 98.0503) 149.873
122: 60R: (30.3719, 96.1133) 150.773
123: XA43: (29.9081, 99.2069) 151.309
124: XA15: (31.4269, 96.9797) 152.078
125: 49XS: (31.4483, 98.3211) 152.661
126: XS13: (29.8167, 99.1967) 152.889
127: 81R: (31.2353, 98.7169) 153.009
128: 2R9: (28.825, 97.8656) 153.442
129: 87TA: (30.1892, 99.2697) 153.749
130: TS87: (30.4181, 96.0794) 154.707
131: 1TX0: (29.2533, 98.8611) 155.496
132: 70TE: (31.5022, 97.0808) 155.919
133: 4XA2: (28.7892, 97.7633) 156.512
134: XS20: (30.1542, 99.2978) 156.54
135: T92: (30.7322, 99.1844) 156.982
136: 54X: (31.5753, 97.3011) 157.532
137: 93TS: (29.7483, 96.1147) 157.812
138: XS47: (29.0003, 98.5711) 158.808
139: TX42: (29.9375, 96.0394) 159.496
140: 87XS: (29.7878, 99.2628) 159.919
141: 64TE: (30.1592, 99.3372) 160.307
142: PEZ: (28.9542, 98.52) 160.543
143: 3TA2: (29.7367, 96.0642) 162.844
144: TS44: (29.84, 96.0233) 163.368
145: 1XA7: (29.7333, 96.0592) 163.422
146: XS61: (31.115, 99.0033) 163.536
147: 1TS1: (29.9128, 95.9942) 164.298
148: XA85: (31.6419, 97.3144) 164.49
149: XS74: (31.6083, 97.1628) 164.497
150: XS71: (28.7481, 98.045) 164.867
151: XS08: (30.8769, 99.1994) 164.966
152: VCT: (28.8525, 96.9186) 165.981
153: 84XS: (30.255, 99.3989) 166.246
154: 6TS6: (31.0417, 96.2017) 169.166
155: XS11: (29.7767, 99.3592) 169.188
156: 37TX: (31.3217, 98.8656) 169.598
157: T26: (29.1083, 96.3989) 172.255
158: XS23: (30.1267, 99.4711) 173.322
159: TA24: (31.4753, 98.7114) 173.7
160: TA97: (29.6375, 95.9689) 175.253
161: 4TS5: (30.2219, 99.4983) 175.715
162: TME: (29.805, 95.8978) 176.064
163: 9X9: (29.9128, 95.8267) 180.149
164: TA23: (31.2614, 96.2164) 182.701
165: 56TE: (29.7294, 95.8497) 182.819
166: 51R: (30.9128, 95.9519) 182.883
167: TA89: (31.5239, 98.8003) 183.014
168: 2H5: (29.505, 95.9) 187.123
169: 94XS: (29.6544, 95.8294) 187.265
170: 47TE: (28.8517, 96.4975) 187.51
171: TX82: (31.8636, 97.3808) 187.641
172: 59TE: (29.8058, 95.7531) 189.58
173: 7TE5: (31.6792, 98.6636) 190.363
174: 83TE: (29.4969, 99.4939) 192.245
175: XS22: (30.2042, 99.6736) 192.554
176: 87TE: (29.4519, 95.8656) 192.652
177: 47TS: (31.0481, 95.9178) 192.67
178: TE85: (30.3422, 95.6614) 193.595
179: 5TX1: (31.8614, 98.2594) 193.682
180: LXY: (31.6397, 96.5147) 194.866
181: XS42: (28.9294, 99.0803) 195.934
182: PKV: (28.6533, 96.6828) 196.229
183: T54: (29.5244, 95.7753) 197.314
184: EYQ: (29.9353, 95.6397) 197.495
185: 33TA: (30.3331, 95.6122) 198.231
186: 18TA: (30.1364, 99.7436) 199.451
187: T17: (29.2761, 95.8886) 200.022
188: XS40: (28.8003, 99.0003) 201.506
189: 11TS: (31.6581, 96.4114) 202.239
190: TE15: (30.8911, 99.6325) 203.278
191: 43TA: (32.0253, 97.6264) 203.629
192: SGR: (29.6222, 95.6567) 204.215
193: XS55: (31.9294, 96.9389) 205.105
194: 57TE: (29.9389, 99.7833) 205.341
195: 3XS1: (28.7672, 96.3069) 206.379
196: T30: (28.8222, 99.1089) 206.562
197: 9TE4: (28.5697, 96.6297) 206.872
198: TE99: (32.0214, 97.2536) 206.984
199: 49R: (29.7456, 99.7608) 207.487
200: XA31: (29.8169, 99.7878) 208.199
201: XS07: (28.9503, 96.06) 208.275
202: 68F: (31.6614, 96.31) 208.411
203: 8TA1: (28.4781, 96.7619) 210.164
204: XS25: (29.3847, 95.6831) 211.82
205: PSX: (28.7275, 96.2508) 213.266
206: RFG: (28.2936, 97.3231) 214.022
207: XS35: (28.7392, 96.2192) 214.26
208: 83TA: (31.9003, 96.6003) 215.324
209: TA33: (29.3581, 95.6353) 217.277
210: CXO: (30.3525, 95.4144) 217.316
211: XS59: (28.2808, 97.2114) 217.385
212: XS09: (30.5375, 95.4364) 217.658
213: 08XS: (29.1081, 95.7775) 219.164
214: 7TE4: (29.5969, 99.8453) 219.965
215: T50: (30.9336, 99.8169) 221.375
216: XS15: (30.7711, 99.9003) 223.128
217: AXH: (29.5061, 95.4769) 224.924
218: IAH: (29.9844, 95.3414) 225.246
219: 9X1: (30.1533, 95.3219) 225.762
220: XS69: (29.9114, 100) 226.475
221: TE47: (32.2092, 97.3178) 226.525
222: 65XS: (32.2233, 97.2817) 228.605
223: XS46: (28.4297, 96.4444) 229.398
224: SEP: (32.2153, 98.1778) 229.844
225: TE50: (32.1733, 96.9661) 230.004
226: TE16: (32.2506, 97.2972) 231.37
227: 79TE: (28.1156, 97.9308) 232.535
228: TE88: (29.3569, 95.4594) 232.787
229: TX74: (32.2614, 97.2753) 232.883
230: TS90: (29.4025, 95.4319) 233.216
231: 16TX: (32.2639, 98.1072) 233.842
232: 5XS9: (31.9219, 96.265) 234.108
233: 72TA: (28.4586, 96.2919) 234.733
234: 34TE: (32.2322, 97.0086) 235.159
235: T79: (29.5558, 95.3281) 236.699
236: 89TS: (31.5669, 95.7667) 237.231
237: 3T2: (29.48, 95.3272) 239.525
238: T69: (28.0386, 97.5425) 240.034
239: 19XS: (32.2972, 97.0869) 240.3
240: TA26: (32.2964, 97.0567) 240.892
241: RKP: (28.0867, 97.0447) 242.104
242: ECU: (29.9469, 100.174) 242.509
243: 15TX: (32.3042, 98.3253) 242.727
244: 21XS: (29.5197, 95.2753) 242.81
245: 91TS: (29.3675, 95.3406) 242.879
246: XS39: (29.5364, 95.2642) 243.244
247: TX67: (32.3606, 97.3025) 243.389
248: TA70: (31.7836, 95.8975) 244.48
249: 8TX2: (29.9786, 100.202) 244.758
250: XA92: (30.87, 100.103) 244.81
251: 15XS: (29.3328, 95.3342) 244.969
252: LVJ: (29.5214, 95.2422) 245.788
253: XS10: (28.1169, 96.8003) 245.958
254: 68TX: (27.9808, 97.7869) 246.403
255: TE83: (28.9208, 99.7561) 246.505
256: 8TS3: (31.3903, 95.4733) 248.407
257: 93XS: (29.0811, 95.3828) 253.345
258: TE87: (27.9158, 97.3203) 255.638
259: 17TX: (32.4486, 98.255) 256.74
260: 5TA7: (29.4208, 95.1592) 257.063
261: PSN: (31.7797, 95.7064) 257.109
262: NOG: (27.9011, 98.0517) 257.688
263: T41: (29.6692, 95.0642) 257.799
264: 9R5: (27.8878, 97.3544) 258.31
265: XS67: (27.9444, 96.985) 258.892
266: 00R: (30.6858, 95.0181) 260.03
267: TE62: (27.8542, 97.6822) 260.221
268: JWY: (32.4561, 96.9128) 261.569
269: 4TX5: (32.23, 96.2597) 263.092
270: 3TA0: (30.0969, 100.404) 263.146
271: TA25: (32.4317, 98.5947) 263.826
272: 8TX6: (32.4278, 96.7169) 264.33
273: 5TA5: (29.3361, 95.1153) 264.407
274: TA83: (32.5397, 97.1922) 264.7
275: 6TX7: (32.5375, 97.1308) 265.521
276: XS66: (27.8039, 97.7436) 265.908
277: 6TX8: (32.5558, 97.2064) 266.238
278: XS99: (30.4711, 94.9128) 266.393
279: 2TS6: (32.5125, 96.9267) 267.247
280: TE37: (30.2692, 100.451) 267.28
281: 72TE: (28.8794, 99.9906) 267.912
282: 63TE: (31.3536, 95.2058) 268.39
283: TS71: (32.5278, 96.9439) 268.463
284: RBO: (27.7786, 97.6906) 268.632
285: F23: (32.4525, 98.6828) 268.884
286: 13TX: (30.5314, 100.451) 269.468
287: 2TS4: (32.1397, 95.9703) 270.067
288: T13: (32.4775, 96.6856) 270.533
289: RAS: (27.8119, 97.0889) 270.881
290: XA42: (32.3756, 96.3869) 271.454
291: 9TE0: (32.3992, 96.3836) 273.934
292: XS72: (30.4836, 94.8336) 274.086
293: 4TX4: (32.6278, 97.1919) 274.358
294: 0XS7: (29.1919, 100.275) 275.229
295: 4TX0: (29.8636, 94.8344) 275.441
296: 86TE: (32.6497, 98.1472) 276.745
297: 0XS2: (30.555, 100.534) 277.67
298: LNC: (32.5792, 96.7192) 280.111
299: XS58: (30.0442, 94.7058) 285.582
300: T78: (30.0778, 94.6986) 286.031
301: TE34: (32.7625, 97.9728) 286.999
302: XS91: (32.0864, 95.5994) 288.245
303: 0TA4: (32.4978, 96.2706) 288.542
304: SOA: (30.5856, 100.649) 288.982
305: 55XS: (29.1664, 100.418) 289.052
306: 0XS8: (29.0761, 100.375) 289.517
307: TA46: (32.5625, 96.4011) 289.558
308: 5TA9: (32.6097, 96.5269) 289.647
309: 8TS6: (32.5331, 96.3225) 289.812
310: MWL: (32.7817, 98.0603) 290.064
311: K00: (32.5136, 96.2369) 291.576
312: 5TE6: (31.2692, 100.461) 292.28
313: 94TA: (31.3058, 100.459) 293.73
314: 1TS0: (29.6706, 94.6708) 294.813
315: 6TA3: (32.7214, 96.7239) 294.967
316: T70: (29.1186, 100.472) 296.008
317: IKG: (27.5509, 98.0308) 296.035
318: TX34: (32.8481, 97.9844) 296.578
319: 0TS7: (32.8333, 98.1253) 296.588
320: SJT: (31.3578, 100.496) 299.396
321: NQI: (27.5045, 97.8083) 299.406
322: 28XS: (32.6458, 96.3253) 300.961
323: TA65: (32.8211, 98.4786) 301.964
324: LFK: (31.2339, 94.75) 302.114
325: 12TS: (32.9083, 97.9772) 303.172
326: HQZ: (32.7469, 96.5306) 303.693
327: XS28: (30.0267, 94.4628) 309.054
328: 50XS: (29.0433, 100.584) 309.42
329: TS65: (31.3586, 100.613) 309.497
330: 6X0: (32.0975, 95.2947) 309.624
331: 27XA: (32.9794, 97.89) 310.378
332: 7TX4: (32.9667, 97.2753) 310.524
333: 61TE: (32.9867, 97.6197) 310.526
334: 4TX2: (32.9667, 97.2336) 311.024
335: 7XS1: (32.9933, 97.6769) 311.224
336: XS29: (29.9908, 94.4225) 313.243
337: XS51: (27.4045, 98.1447) 313.651
338: 25TX: (31.3128, 94.6444) 314.715
339: XS27: (30.0378, 94.3961) 315.369
340: 19TA: (32.8222, 96.4169) 315.415
341: 88XS: (30.0192, 94.3878) 316.317
342: 7TA7: (31.84, 94.9614) 316.377
343: 6XS7: (33.0453, 97.6747) 317.006
344: TA21: (33.0181, 97.1192) 318.283
345: XS50: (27.3836, 98.31) 318.706
346: 5TX6: (33.0167, 97.0725) 318.884
347: 8TX8: (27.3609, 98.1794) 318.957
348: 03XS: (31.3181, 100.754) 320.088
349: 52F: (33.0497, 97.2322) 320.188
350: 5TX4: (33.0333, 97.0669) 320.793
351: 14TS: (27.4217, 98.6044) 321.466
352: OCH: (31.5778, 94.71) 321.613
353: 16X: (33.0806, 97.3589) 322.279
354: 3TX2: (33.0806, 97.3489) 322.367
355: T33: (32.8569, 96.3083) 322.957
356: 7TS0: (33.095, 97.4269) 323.352
357: 2TX7: (33.0944, 97.3961) 323.506
358: 3TX4: (33.0944, 97.3803) 323.629
359: TA02: (33.1028, 97.4642) 323.985
360: 4TA8: (30.6169, 101.017) 324.38
361: 0TS1: (33.0986, 97.2725) 325.116
362: 68TS: (32.875, 96.2878) 325.574
363: F46: (32.9306, 96.4356) 325.947
364: 3TX3: (33.1194, 97.3197) 326.93
365: 3TX8: (33.125, 97.3461) 327.306
366: T48: (32.8681, 96.2192) 327.548
367: 05TS: (33.1292, 97.3586) 327.662
368: 45R: (30.3364, 94.2575) 328.101
369: XS92: (33.1458, 97.7125) 328.205
370: 13TS: (27.4553, 98.9264) 328.238
371: 3T6: (33.1333, 97.2967) 328.694
372: 3TX7: (33.1408, 97.3711) 328.843
373: T76: (33.1492, 97.4961) 328.97
374: XA00: (33.1472, 97.2803) 330.4
375: 4XS2: (33.1706, 97.7317) 330.99
376: 54F: (31.8819, 100.54) 331.629
377: 30F: (33.1319, 97.0142) 332.477
378: 7TS4: (33.1831, 97.2544) 334.646
379: 76TX: (33.1472, 96.9758) 334.841
380: 45TE: (33.1917, 97.3253) 334.876
381: TE70: (33.1986, 97.3169) 335.717
382: 6XS4: (31.1669, 101) 336.317
383: 5TX0: (33.1733, 97.0514) 336.368
384: 0TE5: (27.4338, 99.1858) 340.63
385: T14: (32.9522, 96.0958) 340.979
386: 4TX8: (33.2486, 97.2239) 342.221
387: LRD: (27.5438, 99.4617) 342.485
388: 3F9: (32.6767, 95.5108) 343.709
389: OZA: (30.7353, 101.203) 343.908
390: TX62: (32.6333, 95.4392) 344.013
391: XA72: (33.2769, 97.2894) 344.642
392: 9XS7: (32.9469, 95.9586) 346.34
393: 95TS: (33.2308, 98.4897) 346.417
394: T31: (33.2083, 96.7419) 346.436
395: TKI: (33.1781, 96.5906) 347.129
396: 2TX8: (33.3081, 97.3797) 347.313
397: TE58: (33.3064, 97.3417) 347.427
398: TA00: (32.3842, 100.279) 347.438
399: TA47: (33.3014, 97.245) 347.811
400: 6TX3: (33.2333, 96.7836) 348.152
401: 47TA: (33.2558, 96.8853) 348.405
402: XA46: (32.6936, 95.4544) 348.409
403: 34TA: (33.1669, 96.4872) 348.954
404: JDD: (32.7422, 95.4964) 350.344
405: TE74: (32.9536, 95.8669) 351.137
406: T58: (33.3317, 97.2303) 351.319
407: TX33: (33.3417, 97.3086) 351.627
408: T87: (33.3422, 97.27) 352.055
409: 71XS: (33.3464, 97.2058) 353.221
410: 64F: (31.6439, 100.969) 353.584
411: 6XS8: (33.34, 97.1031) 353.855
412: TS74: (33.3625, 97.2944) 354.06
413: 86XS: (32.4, 100.367) 354.667
414: XA45: (33.0211, 95.9308) 354.835
415: TS63: (33.2458, 96.5642) 355.047
416: 58F: (33.3653, 97.1461) 356.047
417: XA68: (33.3917, 97.3553) 356.765
418: 31XS: (33.1836, 96.2703) 357.784
419: TE24: (33.3931, 97.2053) 358.379
420: TX96: (33.3992, 97.2569) 358.488
421: 3XS4: (30.1344, 93.9361) 359.015
422: F56: (32.9092, 99.7361) 359.776
423: XA03: (33.4283, 97.2719) 361.554
424: T12: (30.6467, 93.915) 363.533
425: 78R: (31.5397, 94.1706) 365.943
426: XS33: (30.0625, 93.8647) 366.243
427: TE32: (27.3086, 99.4814) 366.248
428: 4TX6: (32.4128, 94.8183) 366.374
429: SWW: (32.4675, 100.467) 366.637
430: ONY: (33.3508, 98.8192) 367.395
431: XA16: (33.4942, 97.4656) 367.428
432: XA78: (33.4622, 97.0711) 367.739
433: XS76: (29.7242, 93.8706) 369.72
434: 58XS: (31.8306, 101.056) 370.395
435: T24: (31.2336, 93.9819) 371.001
436: GGG: (32.3839, 94.7114) 371.866
437: ORG: (30.0683, 93.8039) 372.049
438: XA49: (30.025, 101.546) 373.275
439: 6TA2: (33.3722, 96.3622) 374.342
440: 86TS: (31.4836, 94.0336) 375.582
441: 48TE: (30.0211, 101.573) 375.926
442: TE06: (33.3792, 96.3169) 376.507
443: TS54: (33.0147, 95.4344) 378.352
444: 7T0: (33.5933, 97.2192) 380.328
445: 3TS0: (32.5086, 94.7003) 381.726
446: SLR: (33.1597, 95.6211) 382.482
447: XS94: (27.1114, 99.4225) 383.08
448: 61R: (30.8844, 93.7419) 383.915
449: 38XS: (26.8152, 98.4792) 383.975
450: 5TX2: (33.4222, 96.2169) 384.27
451: XA48: (33.6417, 97.315) 384.783
452: 2XA7: (32.615, 94.7656) 385.224
453: XS36: (30.2536, 101.692) 386.439
454: 56F: (32.8256, 100.415) 391.539
455: TA93: (33.6333, 96.7336) 392.463
456: 9XS2: (33.6539, 96.7769) 393.799
457: SWI: (33.6242, 96.5861) 394.853
458: XS93: (26.717, 98.5586) 396.302
459: 11TX: (33.6667, 96.6906) 397.003
460: XS31: (33.7017, 96.8319) 397.925
461: TS20: (33.5322, 99.1936) 398.045
462: GYI: (33.7142, 96.6736) 402.508
463: T05: (26.5628, 97.4378) 404.454
464: XA23: (33.0178, 94.97) 404.859
465: 30TS: (32.8283, 94.7189) 404.978
466: TE68: (33.7442, 96.66) 406.047
467: F53: (33.2153, 95.2372) 407.152
468: 37F: (33.4847, 99.5861) 408.164
469: 36XS: (33.8778, 97.7297) 409.614
470: ASL: (32.5206, 94.3078) 410.841
471: XS70: (33.1344, 95.0181) 412.106
472: OSA: (33.0969, 94.9617) 412.136
473: TS85: (33.8106, 96.7039) 412.286
474: 60F: (33.6486, 99.2606) 412.366
475: 4TE0: (32.9333, 94.7336) 412.45
476: 92XS: (26.4789, 97.6872) 413.148
477: F75: (33.4381, 99.8128) 413.594
478: TX47: (33.7078, 96.2239) 413.796
479: 4TX7: (33.4194, 99.8656) 414.267
480: 9TX9: (30.7483, 101.965) 416.203
481: 9TX7: (33.8417, 96.6697) 416.374
482: XS56: (26.4487, 97.7919) 416.674
483: SNK: (32.6933, 100.951) 417.164
484: TE89: (32.5378, 94.2361) 417.319
485: 09TX: (30.7392, 102.024) 421.601
486: 4TX3: (33.6611, 95.8336) 422.622
487: 49F: (31.2275, 101.953) 425.24
488: 7TE7: (26.3837, 98.3336) 428.68
489: 39TA: (33.6525, 95.6558) 428.916
490: XS30: (33.605, 95.4819) 431.813
491: TS75: (30.5031, 102.159) 432.08
492: 67R: (26.4243, 98.8461) 434.729
493: PRX: (33.6367, 95.4508) 436.295
494: XS64: (26.249, 97.565) 438.829
495: XS63: (26.2287, 97.5608) 441.095
496: 5TX8: (33.0319, 94.3794) 443.391
497: 5XS6: (26.1754, 97.8753) 447.345
498: XS88: (33.8575, 95.7047) 447.446
499: E48: (31.1253, 102.226) 447.835
500: TX54: (26.2125, 98.4081) 448.631
501: PIL: (26.1662, 97.3458) 449.04
502: 53XS: (26.1484, 97.5917) 449.96
503: MFE: (26.1758, 98.2386) 450.307
504: 63F: (32.1736, 101.823) 452.133
505: 92TA: (26.1212, 97.4281) 453.539
506: TS21: (33.0847, 101.115) 457.793
507: TS05: (26.0837, 97.9503) 457.914
508: 7T7: (31.8583, 102.074) 458.555
509: 9TX6: (33.175, 101.024) 458.802
510: 0TA8: (33.8486, 95.4072) 458.887
511: 7TX7: (32.0833, 102.017) 463.94
512: 7TX9: (33.3586, 94.4378) 465.925
513: MDD: (32.0364, 102.101) 468.865
514: TA16: (33.4428, 100.854) 470.04
515: 71TA: (31.8333, 102.234) 471.513
516: MAF: (31.9425, 102.202) 473.327
517: XA77: (32.7486, 101.779) 482.162
518: 5F1: (33.2036, 101.341) 482.166
519: 7TX5: (32.2169, 102.16) 482.56
520: 9XS3: (33.1033, 101.465) 483.317
521: 9TE3: (32.5778, 101.931) 483.501
522: ODO: (31.9214, 102.387) 488.587
523: 3F6: (34.0275, 100.282) 492.065
524: 2F5: (32.7564, 101.92) 493.506
525: 6TX9: (29.855, 102.792) 494.484
526: F01: (34.2772, 99.7592) 494.651
527: 1XS7: (29.4503, 102.832) 504.745
528: 93TE: (29.8097, 102.909) 506.219
529: 92TE: (29.9669, 102.934) 507.075
530: 18XS: (33.8, 101.034) 511.165
531: 0TE3: (33.9292, 100.842) 511.617
532: 00XS: (33.0333, 101.934) 512.427
533: 9XS5: (33.35, 101.642) 513.804
534: 2F4: (33.1769, 101.82) 513.892
535: E01: (31.5825, 102.909) 523.134
536: F49: (33.4847, 101.661) 525.237
537: TX01: (33.3083, 101.91) 529.653
538: TA64: (29.7008, 103.15) 530.781
539: 47XS: (33.4725, 101.785) 532.824
540: 30TE: (33.8111, 101.396) 533.948
541: 5TE5: (30.2739, 103.237) 534.81
542: 02TX: (33.3703, 101.923) 534.968
543: F82: (33.4856, 101.813) 535.694
544: 09TS: (29.4825, 103.165) 535.837
545: 48XS: (29.9267, 103.295) 542.106
546: GNC: (32.6753, 102.653) 547.244
547: 58TE: (33.4064, 102.077) 548.53
548: LBB: (33.6636, 101.823) 549.799
549: F97: (32.9544, 102.541) 554.058
550: 39TE: (32.7181, 102.738) 556.548
551: 8XS8: (33.5903, 102.037) 558.938
552: F21: (34.7397, 100.53) 572.129
553: TA67: (33.7483, 102.067) 572.767
554: 5XS7: (34.2297, 101.464) 573.224
555: PEQ: (31.3825, 103.511) 573.279
556: 5TA0: (32.7319, 102.944) 574.186
557: 81TX: (29.3433, 103.565) 576.738
558: TS39: (34.3119, 101.412) 577.348
559: 6TS0: (34.0892, 101.741) 578.191
560: 9TX3: (34.1689, 101.635) 578.308
561: LLN: (33.5525, 102.373) 580.05
562: PVW: (34.1681, 101.717) 583.239
563: 79XS: (34.4667, 101.301) 584.734
564: 6TX4: (34.3433, 101.544) 587.696
565: 89TE: (29.2781, 103.687) 589.766
566: 7TA3: (34.1808, 101.838) 591.725
567: F98: (33.2172, 102.83) 592.529
568: 0TA7: (30.1483, 103.893) 598.18
569: 29F: (34.3958, 101.767) 605.309
570: LIU: (33.9239, 102.387) 607.755
571: 2F1: (35.2361, 100.185) 607.908
572: 5TE1: (29.6503, 103.951) 608.216
573: MRF: (30.3711, 104.017) 609.737
574: 3TE3: (29.4697, 103.937) 609.753
575: TS42: (34.1964, 102.128) 611.389
576: F85: (33.7292, 102.734) 618.47
577: 9XS6: (34.0531, 102.522) 626.644
578: XS44: (31.0153, 104.213) 632.672
579: TS15: (29.8931, 104.262) 635.28
580: XA05: (34.1011, 102.624) 637.207
581: 2T1: (34.185, 102.641) 644.593
582: T77: (29.6342, 104.362) 647.856
583: 1TE0: (34.2694, 102.717) 656.081
584: 3TE5: (35.3306, 101.385) 668.336
585: T45: (35.3617, 101.365) 670.282
586: 3TE4: (30.0089, 104.665) 673.092
587: PPA: (35.6131, 100.996) 677.713
588: 3TE6: (35.57, 101.169) 681.084
589: 2TA3: (31.7181, 104.598) 681.876
590: 5TE8: (35.7611, 100.752) 682.369
591: BPC: (35.8892, 101.03) 706.315
592: 76TE: (31.5, 105.084) 722.346
593: E42: (36.2211, 101.194) 745.898
594: PYX: (36.4128, 100.752) 748.291
595: X43: (36.0292, 101.829) 755.425
596: 65TX: (31.775, 105.431) 760.273
